Ref ID,Requirement Class,Normative (abridged),Source Citation,Plain Summary,Inheritance Type,Referenced From,Implementation Target,Status / Action,Test Placeholder
/req/datastream/canonical-url,Datastreams,Canonical URL {api_root}/datastreams/{id}.,23-002 §9,Canonical resource URL.,New,—,csapi/url_builder.ts,Implement,datastreams.canonical-url.spec.ts
/req/datastream/resources-endpoint,Datastreams,"GET supports limit, datetime; 200; Features errors.",23-002 §9.4,List/filter datastreams.,New,17-069r4 §7.15,csapi/helpers.ts,Implement,datastreams.endpoint.spec.ts
/req/datastream/canonical-endpoint,Datastreams,Expose {api_root}/datastreams.,23-002 §7.4,Canonical resources endpoint.,New,—,csapi/url_builder.ts,Implement,datastreams.canonical.spec.ts
/req/datastream/ref-from-system,Datastreams,Nested /systems/{sysId}/datastreams.,23-002 §9,By System.,New,—,csapi/url_builder.ts,Implement,datastreams.bySystem.spec.ts
/req/datastream/ref-from-deployment,Datastreams,Nested /deployments/{depId}/datastreams.,23-002 §9,By Deployment.,New,—,csapi/url_builder.ts,Implement,datastreams.byDeployment.spec.ts
/req/datastream/collections,Datastreams,Collections itemType=DataStream behave like endpoint.,23-002 §9,Collections semantics.,New,§8.3,info.ts,Map,datastreams.collections.spec.ts
/req/datastream/schema-op,Datastreams,GET {id}/schema?obsFormat=… returns one schema (200).,23-002 §9,Observation schema negotiation.,New,SWE-3,csapi/helpers.ts,Implement,datastreams.schema.spec.ts
/req/observation/canonical-url,Observations,Canonical URL {api_root}/observations/{id}.,23-002 §9,Observation canonical URL.,New,—,csapi/url_builder.ts,Implement,observations.canonical-url.spec.ts
/req/observation/resources-endpoint,Observations,"GET supports limit, datetime; 200.",23-002 §9,List/filter observations.,New,17-069r4,csapi/helpers.ts,Implement,observations.endpoint.spec.ts
/req/observation/canonical-endpoint,Observations,Expose {api_root}/observations.,23-002 §7.4,Canonical Observations endpoint.,New,—,csapi/url_builder.ts,Implement,observations.canonical.spec.ts
/req/observation/ref-from-datastream,Observations,Nested /datastreams/{id}/observations.,23-002 §9,By DataStream.,New,—,csapi/url_builder.ts,Implement,observations.byStream.spec.ts
/req/observation/collections,Observations,Collections itemType=Observation behave like endpoint.,23-002 §9,Obs collections.,New,§8.3,info.ts,Map,observations.collections.spec.ts
/req/controlstream/canonical-url,ControlStreams,Canonical URL {api_root}/controlstreams/{id}.,23-002 §7.4,Canonical URL.,New,—,csapi/url_builder.ts,Implement,controlstreams.canonical-url.spec.ts
/req/controlstream/resources-endpoint,ControlStreams,"GET supports limit, datetime; 200.",23-002 §10–11,List/filter control streams.,New,17-069r4,csapi/helpers.ts,Implement,controlstreams.endpoint.spec.ts
/req/command/canonical-url,Commands,Canonical URL {api_root}/commands/{id}.,23-002 §7.4,Canonical URL.,New,—,csapi/url_builder.ts,Implement,commands.canonical-url.spec.ts
/req/command/resources-endpoint,Commands,"GET supports limit, datetime; 200.",23-002 §10–11,List/filter commands.,New,17-069r4,csapi/helpers.ts,Implement,commands.endpoint.spec.ts
/req/command/status-result,Commands,Status and Result resources for a command.,23-002 §10–11,Separate status/result resources.,New,—,"csapi/model.ts, parsers",Implement,commands.status-result.spec.ts
/req/feasibility/canonical-url,Feasibility,Canonical URL {api_root}/feasibility/{id}.,23-002 §7.4,Canonical URL.,New,—,csapi/url_builder.ts,Implement,feasibility.canonical-url.spec.ts
/req/feasibility/resources-endpoint,Feasibility,"GET supports limit, datetime; 200.",23-002 §11,List/filter feasibility.,New,17-069r4,csapi/helpers.ts,Implement,feasibility.endpoint.spec.ts
/req/feasibility/status-result,Feasibility,Status and Result resources for feasibility.,23-002 §11,Separate lifecycle resources.,New,—,"csapi/model.ts, parsers",Implement,feasibility.status-result.spec.ts
/req/system-event/canonical-url,System Events,Canonical URL {api_root}/systemEvents/{id}.,23-002 §7.4/Req40,Canonical URL & rel=canonical.,New,—,csapi/url_builder.ts,Implement,events.canonical-url.spec.ts
/req/system-event/resources-endpoint,System Events,"GET supports limit, datetime; 200.",23-002 §7.4/Req41,List/filter events.,New,17-069r4,csapi/helpers.ts,Implement,events.endpoint.spec.ts
/req/system-event/canonical-endpoint,System Events,Expose {api_root}/systemEvents.,23-002 §7.4/Req42,Canonical resources endpoint.,New,—,csapi/url_builder.ts,Implement,events.canonical.spec.ts
/req/system-event/ref-from-system,System Events,Nested /systems/{sysId}/events.,23-002 §7.4/Req43,Events by System.,New,—,csapi/url_builder.ts,Implement,events.bySystem.spec.ts
/req/system-event/collections,System Events,Collections itemType=SystemEvent behave like endpoint.,23-002 §7.4/Req44,Collections semantics.,New,§8.3,info.ts,Map,events.collections.spec.ts
part1/encodings,Encodings Part 1,"Clause 19; GeoJSON, SML-JSON profiles.",23-001 §19,Feature encodings and schemas.,Specialized,—,"encoding.ts, model.ts",Map profiles,encodings.part1.spec.ts
part2/encodings,Encodings Part 2,"JSON, SWE-JSON, SWE-Text, SWE-Binary.",23-002 Table 1,Dynamic data encodings.,New,SWE-3,"encoding.ts, parsers",Implement,encodings.part2.spec.ts
part2/canonical-endpoints,Canonical endpoints list,/datastreams /observations /controlstreams /commands /feasibility /systemEvents.,23-002 §7.4,Well-known top-level routes.,New,—,url_builder.ts,Implement,endpoints.part2.canonical.spec.ts
